,image,name,price,link,brand,gender
33,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwac2d111c/images/2016/CR0630015_REGULAR.jpg, vito brown suiting,$90.00,http://www.cr8rec.com/creative-recreation-vito-brown-suiting/CR0630015.html?dwvar_CR0630015_color=20,Creative Recreation,m
34,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw11543297/images/2016/CR2630019_REGULAR.jpg, vito lo dark jeans,$80.00,http://www.cr8rec.com/creative-recreation-vito-lo-dark-jeans/CR2630019.html?dwvar_CR2630019_color=04,Creative Recreation,m
35,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw838c31de/images/2016/CR2630017_REGULAR.jpg, vito lo black white,$80.00,http://www.cr8rec.com/creative-recreation-vito-lo-black-white/CR2630017.html?dwvar_CR2630017_color=01,Creative Recreation,m
36,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw5e3be18a/images/CR330H976_8_REGULAR.jpg, adonis black white,$60.00,http://www.cr8rec.com/creative-recreation-adonis-black-white/CR330H976.html?dwvar_CR330H976_color=01,Creative Recreation,m
37,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw8c3ae740/images/CR330H100_8_REGULAR.jpg, adonis white,$125.00,http://www.cr8rec.com/creative-recreation-adonis-white/CR330H100.html?dwvar_CR330H100_color=10,Creative Recreation,m
38,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwded56fd8/images/CR3300010_REGULAR.jpg, adonis navy leather,$105.00,http://www.cr8rec.com/creative-recreation-adonis-navy-leather/CR3300010.html?dwvar_CR3300010_color=40,Creative Recreation,m
39,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw3a15054d/images/CR325H462_8_REGULAR.jpg, moretti navy white,$100.00,http://www.cr8rec.com/creative-recreation-moretti-navy-white/CR325H462.html?dwvar_CR325H462_color=40,Creative Recreation,m
40,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw394c8740/images/CR0020001_REGULAR.jpg, dio black,$123.50,http://www.cr8rec.com/creative-recreation-dio-black/CR0020001.html?dwvar_CR0020001_color=01,Creative Recreation,m
41,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwfb3ccaf7/images/CR0020002_REGULAR.jpg, dio wheat gum,$123.50,http://www.cr8rec.com/creative-recreation-dio-wheat-gum/CR0020002.html?dwvar_CR0020002_color=20,Creative Recreation,m
42,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwfae07537/images/2016/CR0100001_REGULAR.jpg, cesario archive black,$152.00,http://www.cr8rec.com/creative-recreation-cesario-archive-black/CR0100001.html?dwvar_CR0100001_color=01,Creative Recreation,m
43,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw00b3295e/images/2016/CR0100002_REGULAR.jpg, cesario archive white burnish,$152.00,http://www.cr8rec.com/creative-recreation-cesario-archive-white-burnish/CR0100002.html?dwvar_CR0100002_color=10,Creative Recreation,m
44,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwfbab5240/images/2016/CR0100003_REGULAR.jpg, cesario archive black brown,$168.00,http://www.cr8rec.com/creative-recreation-cesario-archive-black-brown/CR0100003.html?dwvar_CR0100003_color=20,Creative Recreation,m
45,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwe36d4a08/images/2016/CR0130001_REGULAR.jpg, deross black white dot mesh,$104.00,http://www.cr8rec.com/creative-recreation-deross-black-white-dot-mesh/CR0130001.html?dwvar_CR0130001_color=01,Creative Recreation,m
46,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwc0f8137b/images/2016/CR0130002_REGULAR.jpg, deross black white mayan mesh,$104.00,http://www.cr8rec.com/creative-recreation-deross-black-white-mayan-mesh/CR0130002.html?dwvar_CR0130002_color=01,Creative Recreation,m
47,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dwf2f21989/images/2016/CR0130003_REGULAR.jpg, deross white vapor mayan mesh,$104.00,http://www.cr8rec.com/creative-recreation-deross-white-vapor-mayan-mesh/CR0130003.html?dwvar_CR0130003_color=10,Creative Recreation,m
48,http://demandware.edgesuite.net/aaol_prd/on/demandware.static/-/Sites-Master-Product-catalog-en/default/dw0584d883/images/2016/CR0150002_REGULAR.jpg, nitti lux black white,$120.00,http://www.cr8rec.com/creative-recreation-nitti-lux-black-white/CR0150002.html?dwvar_CR0150002_color=01,Creative Recreation,m
