,image,name,price,brand,link,gender
54,http://cdn.yoox.biz/11/11081546KA_11_n_f.jpg,CALFSKIN LACE-UP,$ 717.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
55,http://cdn.yoox.biz/11/11067198OP_11_n_f.jpg,LACE-UP SHOE,$ 555.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
56,http://cdn.yoox.biz/11/11063408QS_11_n_f.jpg,CALFSKIN DERBY,$ 357.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
57,http://cdn.yoox.biz/11/11094552IT_11_n_f.jpg,SUEDE SNEAKER,$ 345.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
58,http://cdn.yoox.biz/11/11077272IB_11_n_f.jpg,HIGH-TOP SNEAKER IN CALFSKIN,$ 477.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
59,http://cdn.yoox.biz/11/11092826KF_11_n_f.jpg,SNEAKER IN CALFSKIN,$ 725.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
60,http://cdn.yoox.biz/11/11141255XJ_11_n_f.jpg,SHOE BOOTS,"$ 1,195.00",Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
61,http://cdn.yoox.biz/11/11141245WB_11_n_f.jpg,RUNWAY CALFSKIN LACE-UP,$ 925.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
62,http://cdn.yoox.biz/11/11149475KW_11_n_f.jpg,RUNWAY SLIP-ON IN CALFSKIN,"$ 1,045.00",Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
63,http://cdn.yoox.biz/11/11063061EM_11_n_f.jpg,CALFSKIN DERBY,$ 825.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
64,http://cdn.yoox.biz/11/11063100CF_11_n_f.jpg,DEMI BOOT IN SUEDE,$ 775.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
65,http://cdn.yoox.biz/44/44996310WU_11_n_f.jpg,CALFSKIN BROGUE,"$ 1,475.00",Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
66,http://cdn.yoox.biz/44/44965525TM_11_n_f.jpg,CALFSKIN BROGUE,$ 595.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
67,http://cdn.yoox.biz/44/44959322CG_11_n_f.jpg,CALFSKIN DERBY,$ 645.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
68,http://cdn.yoox.biz/11/11004080CL_11_n_f.jpg,SUEDE SNEAKER,$ 575.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
69,http://cdn.yoox.biz/11/11077268UB_11_n_f.jpg,CALFSKIN BROGUE,"$ 1,595.00",Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
70,http://cdn.yoox.biz/11/11065627SC_11_n_f.jpg,CALFSKIN LOAFER,$ 675.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
71,http://cdn.yoox.biz/44/44999685KN_11_n_f.jpg,SUEDE SLIP-ON,$ 465.00,Armani,http://www.armani.com/us/giorgioarmani/men/onlinestore/shoes,m
