,brand,category,gender,image,link,name,price
78,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831976_888,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-mens-indoor-court-soccer-shoe/pid-11155863/pgid-11877988,Nike MercurialX Proximo II IC,$99.97
79,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844593_443,http://store.nike.com/us/en_us/pd/tiempo-legend-vi-ag-pro-menssoccer-cleat/pid-11156414/pgid-11877972,Nike Tiempo Legend VI AG-PRO,$129.97
80,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831977_888&$img1=831977_085,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-mens-turf-soccer-shoe/pid-11155866/pgid-11877918,Nike MercurialX Proximo II TF,$99.97
81,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844595_375,http://store.nike.com/us/en_us/pd/magista-obra-ii-mens-firm-ground-soccer-cleat/pid-11156418/pgid-11832026,Nike Magista Obra II FG,$174.97
82,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852511_376,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-cr7-mens-firm-ground-soccer-cleat/pid-11157152/pgid-11877929,Nike Mercurial Superfly V CR7 FG,$199.97
83,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831961_585,http://store.nike.com/us/en_us/pd/mercurial-veloce-iii-mens-firm-ground-soccer-cleat/pid-11155835/pgid-11877932,Nike Mercurial Veloce III FG,$99.97
84,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852539_001,http://store.nike.com/us/en_us/pd/tiempo-legend-vi-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229713/pgid-11878217,Nike Tiempo Legend VI Tech Craft 2.0 FG,$149.97
85,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843812_375,http://store.nike.com/us/en_us/pd/magista-orden-ii-mens-firm-ground-soccer-cleat/pid-11156147/pgid-11877921,Nike Magista Orden II FG,$99.97
86,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852514_376,http://store.nike.com/us/en_us/pd/mercurial-vapor-xi-cr7-mens-firm-ground-soccer-cleat/pid-11157154/pgid-11877904,Nike Mercurial Vapor XI CR7 FG,$149.97
87,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852538_376,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-cr7-mens-indoor-court-soccer-shoe/pid-11157165/pgid-11877971,Nike MercurialX Proximo II CR7 IC,$99.97
88,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852505_001,http://store.nike.com/us/en_us/pd/magista-opus-ii-tech-craft-2-mens-firm-ground-soccer-cleat/pid-11229710/pgid-11878214,Nike Magista Opus II Tech Craft 2.0 FG,$174.97
89,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843957_777&$img1=843957_374,http://store.nike.com/us/en_us/pd/magistax-proximo-ii-mens-indoor-court-soccer-shoe/pid-11156188/pgid-11878030,Nike MagistaX Proximo II IC,$99.97
90,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852510_376,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-cr7-ag-pro-menssoccer-cleat/pid-11157151/pgid-11877914,Nike Mercurial Superfly V CR7 AG-PRO,$199.97
91,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843813_375,http://store.nike.com/us/en_us/pd/magista-opus-ii-mens-firm-ground-soccer-cleat/pid-11156149/pgid-11877985,Nike Magista Opus II,$129.97
92,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852526_376,http://store.nike.com/us/en_us/pd/mercurialx-victory-vi-cr7-mens-indoor-court-soccer-shoe/pid-11157159/pgid-11877978,Nike MercurialX Victory VI CR7 IC,$49.97
93,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=749887_484,http://store.nike.com/us/en_us/pd/hypervenomx-finale-ii-mens-indoor-court-soccer-shoe/pid-11155240/pgid-11185263,Nike HypervenomX Finale II IC,$79.97
94,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=852537_001,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-tech-craft-2-mens-indoor-court-soccer-shoe/pid-11228359/pgid-11878245,Nike MercurialX Proximo II Tech Craft 2.0 IC,$129.97
