,image,name,price,link,color,brand,gender
68,http://clarks.scene7.com/is/image/clarks/26123035_AZ?$prod_list$,Parram Stella,$100.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/parram-stella-dusty-pink-nubuck/p/26123035,Dusty Pink Nubuck,Clarks,w
69,http://clarks.scene7.com/is/image/clarks/26124278_AZ?$prod_list$,Ralene Luster,$110.00,http://www.clarksusa.com/us/womens/womens-heels/ralene-luster-dark-tan-leather/p/26124278,Dark Tan Leather,Clarks,w
70,http://clarks.scene7.com/is/image/clarks/26122842_AZ?$prod_list$,Aria Pump,$90.00,http://www.clarksusa.com/us/womens/womens-shoes/womens-active/aria-pump-sage-nubuck/p/26122842,Sage Nubuck,Clarks,w
71,http://clarks.scene7.com/is/image/clarks/26124694_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-turquoise-synthetic/p/26124694,Turquoise Synthetic,Clarks,w
72,http://clarks.scene7.com/is/image/clarks/26124219_AZ?$prod_list$,Chorus Chime,$110.00,http://www.clarksusa.com/us/womens/womens-heels/chorus-chime-light-tan-lea/p/26124219,Light Tan Lea,Clarks,w
73,http://clarks.scene7.com/is/image/clarks/26124179_AZ?$prod_list$,Ledella Meg,$130.00,http://www.clarksusa.com/us/womens/womens-clogs/ledella-meg-black-leather/p/26124179,Black Leather,Clarks,w
74,http://clarks.scene7.com/is/image/clarks/26122793_AZ?$prod_list$,Kendra Sienna,$110.00,http://www.clarksusa.com/us/womens/womens-heels/kendra-sienna-nude-patent/p/26122793,Nude Patent,Clarks,w
75,http://clarks.scene7.com/is/image/clarks/26125214_AZ?$prod_list$,Briatta Tempo,$120.00,http://www.clarksusa.com/us/womens/womens-heels/briatta-tempo-black-leather/p/26125214,Black Leather,Clarks,w
76,http://clarks.scene7.com/is/image/clarks/26124074_AZ?$prod_list$,Aisley Lily,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-lily-tan-combi-suede/p/26124074,Tan Combi Suede,Clarks,w
77,http://clarks.scene7.com/is/image/clarks/26125089_AZ?$prod_list$,Aisley Lily,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-lily-light-tan-nubuck/p/26125089,Light Tan Nubuck,Clarks,w
78,http://clarks.scene7.com/is/image/clarks/26125130_AZ?$prod_list$,Aisley Lily,$120.00,http://www.clarksusa.com/us/womens/womens-sandals/womens-sandals-wedge/aisley-lily-black-nubuck/p/26125130,Black Nubuck,Clarks,w
79,http://clarks.scene7.com/is/image/clarks/26126225_AZ?$prod_list$,Breeze Mila,$55.00,http://www.clarksusa.com/us/womens-collections/womens-collection/breeze-mila-gold-synthetic/p/26126225,Gold Synthetic,Clarks,w
