,brand,category,color,gender,image,link,name,price
388,Clarks,heels,Light Tan Nubuck,w,http://clarks.scene7.com/is/image/clarks/26107067_AZ?$prod_list$,http://www.clarksusa.com/us/womens-collections/womens-medium-width/caslynn-shae-light-tan-nubuck/p/26107067,Caslynn Shae,$120.00
389,Clarks,boots,Black Waterproof Leather,m,http://clarks.scene7.com/is/image/clarks/26119708_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/truxton-top-black-waterproof-leather/p/26119708,Truxton Top,$115.00
390,Clarks,boots,Black Leather - Warm Lined,m,http://clarks.scene7.com/is/image/clarks/26120952_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/kimball-peak-black-leather---warm-lined/p/26120952,Kimball Peak,$180.00
391,Clarks,boots,Brown Oily Leather,m,http://clarks.scene7.com/is/image/clarks/26119619_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/edgewick-mid-brown-oily-leather/p/26119619,Edgewick Mid,$110.00
392,Clarks,boots,Navy Nubuck,m,http://clarks.scene7.com/is/image/clarks/26122271_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/trapell-mid-navy-nubuck/p/26122271,Trapell Mid,$135.00
393,Clarks,boots,Tobacco Leather,m,http://clarks.scene7.com/is/image/clarks/26119655_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/devington-hi-tobacco-leather/p/26119655,Devington Hi,$115.00
394,Clarks,boots,Brown Warm Lined Leather,m,http://clarks.scene7.com/is/image/clarks/26109708_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/ripway-peak-gtx-brown-warm-lined-leather/p/26109708,Ripway Peak GTX,$215.00
395,Clarks,boots,Black Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113061_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/milwright-peak-black-tumbled-leather-wl/p/26113061,Milwright Peak,$170.00
396,Clarks,boots,Tobacco Leather,m,http://clarks.scene7.com/is/image/clarks/26120684_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/korik-rise-gtx-tobacco-leather/p/26120684,Korik Rise Gtx,$190.00
397,Clarks,boots,Navy Leather,m,http://clarks.scene7.com/is/image/clarks/26109446_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-boots/desert-mali-navy-leather/p/26109446,Desert Mali,$150.00
398,Clarks,boots,Navy Suede,m,http://clarks.scene7.com/is/image/clarks/26120697_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/kenley-mid-navy-suede/p/26120697,Kenley Mid,$130.00
399,Clarks,boots,Tan Nubuck,m,http://clarks.scene7.com/is/image/clarks/26122306_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/kyston-mid-tan-nubuck/p/26122306,Kyston Mid,$140.00
400,Clarks,boots,Dark Brown Lea,m,http://clarks.scene7.com/is/image/clarks/26119324_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/kyston-mid-dark-brown-lea/p/26119324,Kyston Mid,$140.00
401,Clarks,boots,Tan Tumbled Nubuck-WL,m,http://clarks.scene7.com/is/image/clarks/26113059_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/milwright-hi-tan-tumbled-nubuck-wl/p/26113059,Milwright Hi,$180.00
402,Clarks,boots,Brown Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113067_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/ryerson-peak-brown-tumbled-leather-wl/p/26113067,Ryerson Peak,$180.00
403,Clarks,boots,Dark Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26103255_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/montacute-lord-dark-tan-leather/p/26103255,Montacute Lord,$150.00
404,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26103251_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/montacute-duke-black-leather/p/26103251,Montacute Duke,$140.00
405,Clarks,boots,Beeswax,m,http://clarks.scene7.com/is/image/clarks/26123280_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/fayeman-hi-beeswax/p/26123280,Fayeman Hi,$140.00
406,Clarks,boots,Brown Nubuck,m,http://clarks.scene7.com/is/image/clarks/26125192_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/franson-top-brown-nubuck/p/26125192,Franson Top,$120.00
407,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26109688_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/chilver-hi-gtx-black-leather/p/26109688,Chilver Hi GTX,$160.00
408,Clarks,boots,Chestnut Leather,m,http://clarks.scene7.com/is/image/clarks/26115555_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/montacute-duke-chestnut-leather/p/26115555,Montacute Duke,$140.00
409,Clarks,boots,Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26117717_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/hawkley-rise-tan-leather/p/26117717,Hawkley Rise,$125.00
410,Clarks,boots,Burgundy Leather,m,http://clarks.scene7.com/is/image/clarks/26120330_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/unelott-mid-burgundy-leather/p/26120330,Unelott Mid,$180.00
411,Clarks,boots,Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26119393_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/melshire-top-tan-leather/p/26119393,Melshire Top,$110.00
412,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26119435_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/melshire-top-black-leather/p/26119435,Melshire Top,$110.00
413,Clarks,boots,Black Beeswax Leather,m,http://clarks.scene7.com/is/image/clarks/26103683_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-black-beeswax-leather/p/26103683,Desert Boot,$130.00
414,Clarks,boots,Dark Brown Nubuck,m,http://clarks.scene7.com/is/image/clarks/26112500_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/chilver-hi-gtx-dark-brown-nubuck/p/26112500,Chilver Hi GTX,$160.00
415,Clarks,boots,Navy Suede,m,http://clarks.scene7.com/is/image/clarks/26123289_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/fayeman-hi-navy-suede/p/26123289,Fayeman Hi,$140.00
416,Clarks,boots,Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26123858_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/broyd-mid-tan-leather/p/26123858,Broyd Mid,$140.00
417,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26123877_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/broyd-mid-black-leather/p/26123877,Broyd Mid,$140.00
418,Clarks,boots,Oakwood Suede,m,http://clarks.scene7.com/is/image/clarks/26110058_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-oakwood-suede/p/26110058,Desert Boot,$130.00
419,Clarks,boots,Taupe Distressed Suede,m,http://clarks.scene7.com/is/image/clarks/26110054_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/desert-boot-taupe-distressed-suede/p/26110054,Desert Boot,$130.00
420,Clarks,boots,Beeswax,m,http://clarks.scene7.com/is/image/clarks/26106562_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-beeswax/p/26106562,Desert Boot,$130.00
421,Clarks,boots,Dark Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26103252_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/montacute-duke-dark-tan-leather/p/26103252,Montacute Duke,$140.00
422,Clarks,boots,Brown Suede,m,http://clarks.scene7.com/is/image/clarks/26107879_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-brown-suede/p/26107879,Desert Boot,$130.00
423,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26103666_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-boots/wallabee-boot-black-leather/p/26103666,Wallabee Boot,$140.00
424,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26120329_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/unelott-mid-black-leather/p/26120329,Unelott Mid,$180.00
425,Clarks,boots,Black Suede,m,http://clarks.scene7.com/is/image/clarks/26107882_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-black-suede/p/26107882,Desert Boot,$130.00
426,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26110151_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/faulkner-rise-black-leather/p/26110151,Faulkner Rise,$150.00
427,Clarks,boots,Brown Leather,m,http://clarks.scene7.com/is/image/clarks/26121823_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/frelan-alp-brown-leather/p/26121823,Frelan Alp,$160.00
428,Clarks,boots,Tobacco Warm Lined Leather,m,http://clarks.scene7.com/is/image/clarks/26122146_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/korik-edge-tobacco-warm-lined-leather/p/26122146,Korik Edge,$180.00
429,Clarks,boots,Black Smooth Leather,m,http://clarks.scene7.com/is/image/clarks/26119654_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/devington-hi-black-smooth-leather/p/26119654,Devington Hi,$115.00
430,Clarks,boots,Grey Warm Lined Nubuck,m,http://clarks.scene7.com/is/image/clarks/26119771_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/johto-rise-gtx-grey-warm-lined-nubuck/p/26119771,Johto Rise GTX,$180.00
431,Clarks,boots,Brown Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113069_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-waterproof-boots/ryerson-rise-brown-tumbled-leather-wl/p/26113069,Ryerson Rise,$170.00
432,Clarks,boots,Black Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113068_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-waterproof-boots/ryerson-rise-black-tumbled-leather-wl/p/26113068,Ryerson Rise,$170.00
433,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26109694_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/faulkner-top-black-leather/p/26109694,Faulkner Top,$160.00
434,Clarks,boots,Brown Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26110559_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/milwright-peak-brown-tumbled-leather-wl/p/26110559,Milwright Peak,$170.00
435,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26120951_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/kimball-rise-black-leather/p/26120951,Kimball Rise,$180.00
436,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26119431_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/melshire-rise-black-leather/p/26119431,Melshire Rise,$150.00
437,Clarks,boots,Black Beeswax Leather,m,http://clarks.scene7.com/is/image/clarks/26119975_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-boots/desert-mali-black-beeswax-leather/p/26119975,Desert Mali,$150.00
438,Clarks,boots,Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26120673_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/sawtel-hi-tan-leather/p/26120673,Sawtel Hi,$150.00
439,Clarks,boots,Black Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113060_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/milwright-hi-black-tumbled-leather-wl/p/26113060,Milwright Hi,$180.00
440,Clarks,boots,Loden Green Suede,m,http://clarks.scene7.com/is/image/clarks/26121692_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-boots/desert-mali-loden-green-suede/p/26121692,Desert Mali,$160.00
441,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26119643_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/guard-peak-black-leather/p/26119643,Guard Peak,$125.00
442,Clarks,boots,Black Tumbled Leather,m,http://clarks.scene7.com/is/image/clarks/26113057_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/kimball-zip-black-tumbled-leather/p/26113057,Kimball Zip,$170.00
443,Clarks,boots,Walnut Leather,m,http://clarks.scene7.com/is/image/clarks/26110150_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/faulkner-rise-walnut-leather/p/26110150,Faulkner Rise,$150.00
444,Clarks,boots,Brown Leather,m,http://clarks.scene7.com/is/image/clarks/26121400_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/ryerson-ridge-brown-leather/p/26121400,Ryerson Ridge,$150.00
445,Clarks,boots,Black Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113063_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/milwright-rise-black-tumbled-leather-wl/p/26113063,Milwright Rise,$170.00
446,Clarks,boots,Chestnut Warm Lined Leather,m,http://clarks.scene7.com/is/image/clarks/26119291_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/montacute-lord-chestnut-warm-lined-leather/p/26119291,Montacute Lord,$160.00
447,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26119870_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/edmen-cap-black-leather/p/26119870,Edmen Cap,$110.00
448,Clarks,boots,Brown Leather,m,http://clarks.scene7.com/is/image/clarks/26122302_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/pitney-hi-brown-leather/p/26122302,Pitney Hi,$150.00
449,Clarks,boots,Black Warm Lined Leather,m,http://clarks.scene7.com/is/image/clarks/26109710_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/ripway-peak-gtx-black-warm-lined-leather/p/26109710,Ripway Peak GTX,$215.00
450,Clarks,boots,Tan Leather,m,http://clarks.scene7.com/is/image/clarks/26119642_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/guard-peak-tan-leather/p/26119642,Guard Peak,$125.00
451,Clarks,boots,Brown Leather,m,http://clarks.scene7.com/is/image/clarks/26120672_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/sawtel-hi-brown-leather/p/26120672,Sawtel Hi,$150.00
452,Clarks,boots,Brown Leather,m,http://clarks.scene7.com/is/image/clarks/26119718_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-waterproof-boots/walbeck-rise-brown-leather/p/26119718,Walbeck Rise,$115.00
453,Clarks,boots,Black Tumbled Leather-WL,m,http://clarks.scene7.com/is/image/clarks/26113066_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/ryerson-peak-black-tumbled-leather-wl/p/26113066,Ryerson Peak,$180.00
454,Clarks,boots,Rust Leather,m,http://clarks.scene7.com/is/image/clarks/26109447_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-view-all/desert-mali-rust-leather/p/26109447,Desert Mali,$150.00
455,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26119717_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-waterproof-boots/walbeck-rise-black-leather/p/26119717,Walbeck Rise,$115.00
456,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26119796_AZ?$prod_list$,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/bampton-top-black-leather/p/26119796,Bampton Top,$110.00
457,Clarks,boots,Tobacco Nubuck,m,http://clarks.scene7.com/is/image/clarks/26119287_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/baystone-up-gtx-tobacco-nubuck/p/26119287,Baystone Up GTX,$180.00
458,Clarks,boots,Black Leather,m,http://clarks.scene7.com/is/image/clarks/26120096_AZ?$prod_list$,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/baystone-top-gtx-black-leather/p/26120096,Baystone Top GTX,$180.00
459,Clarks,boots,Petrol Blue Lea,m,http://clarks.scene7.com/is/image/clarks/26118516_AZ?$prod_list$,http://www.clarksusa.com/us/originals/originals-mens-desert-boots/desert-boot-petrol-blue-lea/p/26118516,Desert Boot,$180.00
