,image,name,price,link,color,brand,gender
50,http://clarks.scene7.com/is/image/clarks/26119287_AZ?$prod_list$,Baystone Up GTX,$159.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/baystone-up-gtx-tobacco-nubuck/p/26119287,Tobacco Nubuck,Clarks,m
51,http://clarks.scene7.com/is/image/clarks/26120096_AZ?$prod_list$,Baystone Top GTX,$99.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/baystone-top-gtx-black-leather/p/26120096,Black Leather,Clarks,m
52,http://clarks.scene7.com/is/image/clarks/26121264_AZ?$prod_list$,Outlay Roam,$99.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/outlay-roam-olive-suede/p/26121264,Olive Suede,Clarks,m
53,http://clarks.scene7.com/is/image/clarks/26119327_AZ?$prod_list$,Flexton Mid,$109.99,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/flexton-mid-black-leather/p/26119327,Black Leather,Clarks,m
54,http://clarks.scene7.com/is/image/clarks/26120084_AZ?$prod_list$,Montacute Wing,$119.99,http://www.clarksusa.com/us/mens-technologies/mens-ortholite/montacute-wing-chestnut-interest-leather/p/26120084,Chestnut Interest Leather,Clarks,m
55,http://clarks.scene7.com/is/image/clarks/26120439_AZ?$prod_list$,Tri Outflex GTX,$89.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/tri-outflex-gtx-grey-nubuck/p/26120439,Grey Nubuck,Clarks,m
56,http://clarks.scene7.com/is/image/clarks/26119683_AZ?$prod_list$,Holmby Top,$89.99,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/holmby-top-brown-leather/p/26119683,Brown Leather,Clarks,m
57,http://clarks.scene7.com/is/image/clarks/26119684_AZ?$prod_list$,Holmby Top,$99.99,http://www.clarksusa.com/us/mens/mens-boots/mens-dress-boots/holmby-top-black-leather/p/26119684,Black Leather,Clarks,m
58,http://clarks.scene7.com/is/image/clarks/26120126_AZ?$prod_list$,Sawtel Summit,$119.99,http://www.clarksusa.com/us/mens/mens-boots/mens-casual-boots/sawtel-summit-tan-leather/p/26120126,Tan Leather,Clarks,m
59,http://clarks.scene7.com/is/image/clarks/26120438_AZ?$prod_list$,Tri Outflex GTX,$119.99,http://www.clarksusa.com/us/mens/mens-boots/mens-winter-boots/mens-gore-tex-boots/tri-outflex-gtx-brown-leather/p/26120438,Brown Leather,Clarks,m
